joint,channel,pulse,adc
servo0,18,8000,38.0
servo0,18,7750,51.0
servo0,18,7500,81.0
servo0,18,7250,138.0
servo0,18,7000,174.0
servo0,18,6750,223.7
servo0,18,6500,253.0
servo0,18,6250,306.0
servo0,18,6000,331.3
servo0,18,5750,393.0
servo0,18,5500,420.0
servo0,18,5250,479.0
servo0,18,5000,501.0
servo0,18,4750,543.0
servo0,18,4500,542.7
servo0,18,4250,543.0
servo0,18,4000,543.0
servo1,19,8000,19.0
servo1,19,7750,19.3
servo1,19,7500,101.0
servo1,19,7250,141.7
servo1,19,7000,188.0
servo1,19,6750,229.7
servo1,19,6500,271.0
servo1,19,6250,316.0
servo1,19,6000,357.3
servo1,19,5750,400.0
servo1,19,5500,437.7
servo1,19,5250,442.0
servo1,19,5000,442.3
servo1,19,4750,442.3
servo1,19,4500,442.3
servo1,19,4250,442.0
servo1,19,4000,443.0
servo2,16,8000,17.0
servo2,16,7750,58.0
servo2,16,7500,102.0
servo2,16,7250,144.0
servo2,16,7000,187.0
servo2,16,6750,227.3
servo2,16,6500,270.0
servo2,16,6250,310.0
servo2,16,6000,357.0
servo2,16,5750,399.0
servo2,16,5500,442.0
servo2,16,5250,482.3
servo2,16,5000,525.0
servo2,16,4750,568.3
servo2,16,4500,607.0
servo2,16,4250,642.0
servo2,16,4000,643.3
servo3,17,8000,21.0
servo3,17,7750,60.0
servo3,17,7500,99.7
servo3,17,7250,142.7
servo3,17,7000,187.0
servo3,17,6750,228.0
servo3,17,6500,272.0
servo3,17,6250,317.0
servo3,17,6000,358.7
servo3,17,5750,398.0
servo3,17,5500,442.3
servo3,17,5250,482.3
servo3,17,5000,529.0
servo3,17,4750,571.3
servo3,17,4500,608.3
servo3,17,4250,651.0
servo3,17,4000,667.7
servo4,14,8000,19.3
servo4,14,7750,64.0
servo4,14,7500,107.0
servo4,14,7250,151.0
servo4,14,7000,192.0
servo4,14,6750,234.0
servo4,14,6500,274.7
servo4,14,6250,320.3
servo4,14,6000,361.3
servo4,14,5750,405.0
servo4,14,5500,444.3
servo4,14,5250,487.0
servo4,14,5000,528.3
servo4,14,4750,570.3
servo4,14,4500,618.0
servo4,14,4250,655.3
servo4,14,4000,654.3
servo5,15,8000,20.0
servo5,15,7750,60.0
servo5,15,7500,102.0
servo5,15,7250,148.0
servo5,15,7000,185.0
servo5,15,6750,233.0
servo5,15,6500,270.0
servo5,15,6250,315.7
servo5,15,6000,353.7
servo5,15,5750,395.0
servo5,15,5500,443.0
servo5,15,5250,484.3
servo5,15,5000,526.0
servo5,15,4750,564.0
servo5,15,4500,597.3
servo5,15,4250,644.7
servo5,15,4000,659.7
servo6,12,8000,15.0
servo6,12,7750,62.0
servo6,12,7500,104.0
servo6,12,7250,144.0
servo6,12,7000,187.3
servo6,12,6750,227.3
servo6,12,6500,270.0
servo6,12,6250,316.3
servo6,12,6000,356.0
servo6,12,5750,400.0
servo6,12,5500,437.7
servo6,12,5250,481.7
servo6,12,5000,523.3
servo6,12,4750,563.7
servo6,12,4500,606.7
servo6,12,4250,641.3
servo6,12,4000,642.7
servo7,13,8000,21.0
servo7,13,7750,64.0
servo7,13,7500,101.0
servo7,13,7250,144.0
servo7,13,7000,189.0
servo7,13,6750,232.0
servo7,13,6500,269.7
servo7,13,6250,314.0
servo7,13,6000,358.0
servo7,13,5750,394.3
servo7,13,5500,441.0
servo7,13,5250,484.7
servo7,13,5000,524.0
servo7,13,4750,565.0
servo7,13,4500,602.0
servo7,13,4250,648.3
servo7,13,4000,661.3
servo8,10,8000,16.0
servo8,10,7750,62.0
servo8,10,7500,102.0
servo8,10,7250,141.0
servo8,10,7000,183.0
servo8,10,6750,230.0
servo8,10,6500,271.3
servo8,10,6250,316.0
servo8,10,6000,357.7
servo8,10,5750,396.7
servo8,10,5500,439.7
servo8,10,5250,481.7
servo8,10,5000,522.3
servo8,10,4750,564.0
servo8,10,4500,607.3
servo8,10,4250,643.0
servo8,10,4000,642.0
servo9,11,8000,18.0
servo9,11,7750,58.0
servo9,11,7500,97.7
servo9,11,7250,143.3
servo9,11,7000,177.7
servo9,11,6750,225.3
servo9,11,6500,266.0
servo9,11,6250,313.0
servo9,11,6000,351.0
servo9,11,5750,391.0
servo9,11,5500,435.0
servo9,11,5250,477.7
servo9,11,5000,519.0
servo9,11,4750,561.7
servo9,11,4500,587.0
servo9,11,4250,586.0
servo9,11,4000,586.0
