position,servo6_mean,servo6_std,servo6_min,servo6_max,servo6_3sig,servo8_mean,servo8_std,servo8_min,servo8_max,servo8_3sig
0.0,-0.00024,0.00074,-0.00347,0.0,0.00246,0.0,0.0,0.0,0.0,0.0
0.1,-0.00271,0.00068,-0.0059,-0.00243,0.00475,-0.00239,0.00047,-0.00399,-0.00225,0.0038
0.2,-0.01097,0.001,-0.01354,-0.01007,0.01396,-0.00808,0.00054,-0.01144,-0.00624,0.00969
0.3,-0.00965,0.00103,-0.0125,-0.00903,0.01274,-0.0034,0.00208,-0.00676,0.00364,0.00963
0.4,-0.01024,0.0009,-0.01319,-0.00799,0.01295,-0.00877,0.00468,-0.01941,0.00312,0.02282
0.5,-0.01283,0.00155,-0.01562,-0.00347,0.01748,-0.0122,0.00099,-0.01473,-0.00953,0.01518
0.6,-0.01875,0.00101,-0.02153,-0.01632,0.02179,-0.0178,0.00099,-0.02045,-0.01525,0.02078
0.7,-0.02045,0.00101,-0.02396,-0.01875,0.02349,-0.0169,0.00096,-0.01924,-0.01577,0.01978
0.8,-0.02429,0.00113,-0.02812,-0.02292,0.02769,-0.02211,0.00103,-0.02496,-0.01976,0.02519
0.9,-0.02547,0.00121,-0.02882,-0.02361,0.0291,-0.02314,0.00113,-0.02548,-0.02028,0.02654
