cycle,phase,step,t_ms,pause_no,servo6_q_target,servo6_q_measured,servo6_q_delta,servo7_q_target,servo7_q_measured,servo7_q_delta,servo8_q_target,servo8_q_measured,servo8_q_delta,servo9_q_target,servo9_q_measured,servo9_q_delta,middle_det_bit,index_det_bit
0,INTERACTIVE,-1,0.5,-1,0.0,0.0,0.0,0.0,0.00017,-0.00017,0.0,0.0,0.0,0.0,0.00387,-0.00387,-1,-1
0,INTERACTIVE,-1,216.1,-1,0.0,0.0,0.0,0.0,0.00017,-0.00017,0.0,0.0,0.0,0.0,0.00387,-0.00387,-1,-1
0,INTERACTIVE,-1,433.6,-1,0.0,0.0,0.0,0.0,0.00017,-0.00017,0.0,0.0,0.0,0.0,0.00387,-0.00387,-1,-1
0,INTERACTIVE,-1,651.2,-1,0.0,0.0,0.0,0.0,0.00017,-0.00017,0.0,0.0,0.0,0.0,0.00387,-0.00387,-1,-1
0,INTERACTIVE,-1,868.4,-1,0.0,0.0,0.0,0.0,0.00017,-0.00017,0.0,0.0,0.0,0.0,0.00387,-0.00387,-1,-1
0,INTERACTIVE,-1,1084.1,-1,0.0,0.0,0.0,0.0,0.00349,-0.00349,0.0,0.0,0.0,0.0,0.00193,-0.00193,-1,-1
0,INTERACTIVE,-1,1297.5,-1,0.0,0.0,0.0,0.0,0.00017,-0.00017,0.0,0.0,0.0,0.0,0.00387,-0.00387,-1,-1
0,INTERACTIVE,-1,1512.3,-1,0.0,0.0,0.0,0.0,0.00017,-0.00017,0.0,0.0,0.0,0.0,0.00193,-0.00193,-1,-1
0,INTERACTIVE,-1,1731.6,-1,0.01,0.0,0.01,0.01,0.00017,0.00983,0.01,0.0,0.01,0.01,0.00193,0.00807,-1,-1
0,INTERACTIVE,-1,1948.2,-1,0.01,0.00873,0.00127,0.01,0.00017,0.00983,0.01,0.00888,0.00112,0.01,0.00193,0.00807,-1,-1
0,INTERACTIVE,-1,2168.8,-1,0.04,0.00873,0.03127,0.04,0.00017,0.03983,0.04,0.00888,0.03112,0.04,0.00387,0.03613,-1,-1
0,INTERACTIVE,-1,2369.6,-1,0.1,0.04363,0.05637,0.1,0.02839,0.07161,0.1,0.03326,0.06674,0.1,0.03288,0.06712,-1,-1
0,INTERACTIVE,-1,2572.7,-1,0.17,0.10995,0.06005,0.17,0.10975,0.06025,0.17,0.11336,0.05664,0.17,0.11219,0.05781,-1,-1
0,INTERACTIVE,-1,2790.0,-1,0.21,0.19023,0.01977,0.21,0.1911,0.0189,0.21,0.18997,0.02003,0.21,0.18375,0.02625,-1,-1
0,INTERACTIVE,-1,3008.5,-1,0.21,0.20942,0.00058,0.21,0.23261,-0.02261,0.21,0.22131,-0.01131,0.21,0.22631,-0.01631,-1,-1
0,INTERACTIVE,-1,3227.3,-1,0.22,0.21117,0.00883,0.22,0.23261,-0.01261,0.22,0.22131,-0.00131,0.22,0.22437,-0.00437,-1,-1
0,INTERACTIVE,-1,3445.8,-1,0.22,0.2164,0.0036,0.22,0.23261,-0.01261,0.22,0.22131,-0.00131,0.22,0.22631,-0.00631,-1,-1
0,INTERACTIVE,-1,3666.2,-1,0.24,0.21815,0.02185,0.24,0.22431,0.01569,0.24,0.22305,0.01695,0.24,0.22631,0.01369,-1,-1
0,INTERACTIVE,-1,3888.2,-1,0.32,0.24956,0.07044,0.32,0.24921,0.07079,0.32,0.24569,0.07431,0.32,0.24565,0.07435,-1,-1
0,INTERACTIVE,-1,4090.9,-1,0.39,0.32286,0.06714,0.39,0.32559,0.06441,0.39,0.32753,0.06247,0.39,0.33075,0.05925,-1,-1
0,INTERACTIVE,-1,4309.0,-1,0.42,0.39965,0.02035,0.42,0.4086,0.0114,0.42,0.41285,0.00715,0.42,0.39458,0.02542,-1,-1
0,INTERACTIVE,-1,4526.5,-1,0.42,0.42583,-0.00583,0.42,0.44347,-0.02347,0.42,0.43375,-0.01375,0.42,0.41199,0.00801,-1,-1
0,INTERACTIVE,-1,4746.0,-1,0.43,0.42583,0.00417,0.43,0.44181,-0.01181,0.43,0.43375,-0.00375,0.43,0.41199,0.01801,-1,-1
0,INTERACTIVE,-1,4964.5,-1,0.43,0.42583,0.00417,0.43,0.44181,-0.01181,0.43,0.43026,-0.00026,0.43,0.4352,-0.0052,-1,-1
0,INTERACTIVE,-1,5184.5,-1,0.44,0.42757,0.01243,0.44,0.44181,-0.00181,0.44,0.43026,0.00974,0.44,0.43714,0.00286,-1,-1
