step,servo6_raw_adc,servo6_q_target,servo6_q_measured,servo6_q_delta,servo8_raw_adc,servo8_q_target,servo8_q_measured,servo8_q_delta
0,67,0.005,0.0,0.005,66,0.005,0.0,0.005
1,68,0.01,0.0,0.01,66,0.01,0.0,0.01
2,67,0.015,0.0,0.015,66,0.015,0.0,0.015
3,68,0.02,0.0,0.02,66,0.02,0.0,0.02
4,67,0.025,0.0,0.025,66,0.025,0.0,0.025
5,68,0.03,0.0,0.03,66,0.03,0.0,0.03
6,73,0.035,0.00694,0.02806,72,0.035,0.00693,0.02807
7,67,0.04,0.0,0.04,66,0.04,0.0,0.04
8,68,0.045,0.0,0.045,67,0.045,0.0,0.045
9,70,0.05,0.00174,0.04826,67,0.05,0.0,0.05
10,75,0.055,0.01042,0.04458,69,0.055,0.00173,0.05327
11,78,0.06,0.01562,0.04437,70,0.06,0.00347,0.05653
12,82,0.065,0.02257,0.04243,73,0.065,0.00867,0.05633
13,87,0.07,0.03125,0.03875,77,0.07,0.0156,0.0544
14,90,0.075,0.03646,0.03854,82,0.075,0.02426,0.05074
15,96,0.08,0.04688,0.03313,85,0.08,0.02946,0.05054
16,101,0.085,0.05556,0.02944,89,0.085,0.0364,0.0486
17,106,0.09,0.06424,0.02576,93,0.09,0.04333,0.04667
18,110,0.095,0.07118,0.02382,99,0.095,0.05373,0.04127
19,114,0.1,0.07812,0.02188,104,0.1,0.06239,0.03761
20,117,0.105,0.08333,0.02167,106,0.105,0.06586,0.03914
21,125,0.11,0.09722,0.01278,112,0.11,0.07626,0.03374
22,123,0.115,0.09375,0.02125,115,0.115,0.08146,0.03354
23,125,0.12,0.09722,0.02278,119,0.12,0.08839,0.03161
24,127,0.125,0.10069,0.02431,123,0.125,0.09532,0.02968
25,127,0.13,0.10069,0.02931,126,0.13,0.10052,0.02948
26,129,0.135,0.10417,0.03083,130,0.135,0.10745,0.02755
27,131,0.14,0.10764,0.03236,133,0.14,0.11265,0.02735
28,132,0.145,0.10938,0.03563,135,0.145,0.11612,0.02888
29,134,0.15,0.11285,0.03715,137,0.15,0.11958,0.03042
30,135,0.155,0.11458,0.04042,140,0.155,0.12478,0.03022
31,138,0.16,0.11979,0.04021,141,0.16,0.12652,0.03348
32,140,0.165,0.12326,0.04174,142,0.165,0.12825,0.03675
33,143,0.17,0.12847,0.04153,143,0.17,0.12998,0.04002
34,146,0.175,0.13368,0.04132,149,0.175,0.14038,0.03462
35,150,0.18,0.14062,0.03938,145,0.18,0.13345,0.04655
36,153,0.185,0.14583,0.03917,147,0.185,0.13692,0.04808
37,152,0.19,0.1441,0.0459,152,0.19,0.14558,0.04442
38,157,0.195,0.15278,0.04222,155,0.195,0.15078,0.04422
39,164,0.2,0.16493,0.03507,154,0.2,0.14905,0.05095
40,164,0.205,0.16493,0.04007,159,0.205,0.15771,0.04729
41,168,0.21,0.17188,0.03813,163,0.21,0.16464,0.04536
42,172,0.215,0.17882,0.03618,164,0.215,0.16638,0.04862
43,176,0.22,0.18576,0.03424,172,0.22,0.18024,0.03976
44,179,0.225,0.19097,0.03403,175,0.225,0.18544,0.03956
45,183,0.23,0.19792,0.03208,177,0.23,0.18891,0.04109
46,186,0.235,0.20312,0.03188,181,0.235,0.19584,0.03916
47,194,0.24,0.21701,0.02299,187,0.24,0.20624,0.03376
48,192,0.245,0.21354,0.03146,189,0.245,0.20971,0.03529
49,195,0.25,0.21875,0.03125,193,0.25,0.21664,0.03336
50,197,0.255,0.22222,0.03278,196,0.255,0.22184,0.03316
51,201,0.26,0.22917,0.03083,199,0.26,0.22704,0.03296
52,203,0.265,0.23264,0.03236,202,0.265,0.23224,0.03276
53,205,0.27,0.23611,0.03389,205,0.27,0.23744,0.03256
54,208,0.275,0.24132,0.03368,208,0.275,0.24263,0.03237
55,209,0.28,0.24306,0.03694,210,0.28,0.2461,0.0339
56,212,0.285,0.24826,0.03674,212,0.285,0.24957,0.03543
57,215,0.29,0.25347,0.03653,214,0.29,0.25303,0.03697
58,217,0.295,0.25694,0.03806,216,0.295,0.2565,0.0385
59,220,0.3,0.26215,0.03785,216,0.3,0.2565,0.0435
60,223,0.305,0.26736,0.03764,220,0.305,0.26343,0.04157
61,226,0.31,0.27257,0.03743,222,0.31,0.2669,0.0431
62,232,0.315,0.28299,0.03201,225,0.315,0.2721,0.0429
63,236,0.32,0.28993,0.03007,229,0.32,0.27903,0.04097
64,237,0.325,0.29167,0.03333,231,0.325,0.2825,0.0425
65,240,0.33,0.29688,0.03313,234,0.33,0.28769,0.04231
66,243,0.335,0.30208,0.03292,237,0.335,0.29289,0.04211
67,246,0.34,0.30729,0.03271,241,0.34,0.29983,0.04017
68,249,0.345,0.3125,0.0325,243,0.345,0.30329,0.04171
69,254,0.35,0.32118,0.02882,247,0.35,0.31023,0.03977
70,258,0.355,0.32812,0.02688,249,0.355,0.31369,0.04131
71,258,0.36,0.32812,0.03188,251,0.36,0.31716,0.04284
72,259,0.365,0.32986,0.03514,254,0.365,0.32236,0.04264
73,261,0.37,0.33333,0.03667,254,0.37,0.32236,0.04764
74,262,0.375,0.33507,0.03993,258,0.375,0.32929,0.04571
75,264,0.38,0.33854,0.04146,263,0.38,0.33795,0.04205
76,268,0.385,0.34549,0.03951,268,0.385,0.34662,0.03838
77,271,0.39,0.35069,0.03931,271,0.39,0.35182,0.03818
78,278,0.395,0.36285,0.03215,274,0.395,0.35702,0.03798
79,279,0.4,0.36458,0.03542,278,0.4,0.36395,0.03605
80,282,0.405,0.36979,0.03521,282,0.405,0.37088,0.03412
81,286,0.41,0.37674,0.03326,285,0.41,0.37608,0.03392
82,289,0.415,0.38194,0.03306,288,0.415,0.38128,0.03372
83,293,0.42,0.38889,0.03111,292,0.42,0.38821,0.03179
84,297,0.425,0.39583,0.02917,294,0.425,0.39168,0.03332
85,299,0.43,0.39931,0.03069,298,0.43,0.39861,0.03139
86,303,0.435,0.40625,0.02875,301,0.435,0.40381,0.03119
87,305,0.44,0.40972,0.03028,304,0.44,0.40901,0.03099
88,308,0.445,0.41493,0.03007,308,0.445,0.41594,0.02906
89,310,0.45,0.4184,0.0316,309,0.45,0.41768,0.03232
90,314,0.455,0.42535,0.02965,312,0.455,0.42288,0.03212
91,317,0.46,0.43056,0.02944,314,0.46,0.42634,0.03366
92,324,0.465,0.44271,0.02229,320,0.465,0.43674,0.02826
93,321,0.47,0.4375,0.0325,320,0.47,0.43674,0.03326
94,328,0.475,0.44965,0.02535,323,0.475,0.44194,0.03306
95,328,0.48,0.44965,0.03035,326,0.48,0.44714,0.03286
96,331,0.485,0.45486,0.03014,329,0.485,0.45234,0.03266
97,335,0.49,0.46181,0.02819,331,0.49,0.45581,0.03419
98,337,0.495,0.46528,0.02972,333,0.495,0.45927,0.03573
99,340,0.5,0.47049,0.02951,337,0.5,0.4662,0.0338
100,342,0.505,0.47396,0.03104,339,0.505,0.46967,0.03533
101,345,0.51,0.47917,0.03083,341,0.51,0.47314,0.03686
102,347,0.515,0.48264,0.03236,344,0.515,0.47834,0.03666
103,350,0.52,0.48785,0.03215,346,0.52,0.4818,0.0382
104,353,0.525,0.49306,0.03194,348,0.525,0.48527,0.03973
105,359,0.53,0.50347,0.02653,356,0.53,0.49913,0.03087
106,363,0.535,0.51042,0.02458,359,0.535,0.50433,0.03067
107,365,0.54,0.51389,0.02611,364,0.54,0.513,0.027
108,373,0.545,0.52778,0.01722,370,0.545,0.5234,0.0216
109,375,0.55,0.53125,0.01875,371,0.55,0.52513,0.02487
110,377,0.555,0.53472,0.02028,374,0.555,0.53033,0.02467
111,377,0.56,0.53472,0.02528,375,0.56,0.53206,0.02794
112,377,0.565,0.53472,0.03028,376,0.565,0.5338,0.0312
113,379,0.57,0.53819,0.03181,379,0.57,0.53899,0.03101
114,381,0.575,0.54167,0.03333,381,0.575,0.54246,0.03254
115,383,0.58,0.54514,0.03486,383,0.58,0.54593,0.03407
116,389,0.585,0.55556,0.02944,386,0.585,0.55113,0.03387
117,388,0.59,0.55382,0.03618,388,0.59,0.55459,0.03541
118,391,0.595,0.55903,0.03597,390,0.595,0.55806,0.03694
119,398,0.6,0.57118,0.02882,393,0.6,0.56326,0.03674
120,397,0.605,0.56944,0.03556,396,0.605,0.56846,0.03654
121,400,0.61,0.57465,0.03535,400,0.61,0.57539,0.03461
122,403,0.615,0.57986,0.03514,401,0.615,0.57712,0.03788
123,407,0.62,0.58681,0.03319,404,0.62,0.58232,0.03768
124,411,0.625,0.59375,0.03125,406,0.625,0.58579,0.03921
125,416,0.63,0.60243,0.02757,409,0.63,0.59099,0.03901
126,415,0.635,0.60069,0.03431,413,0.635,0.59792,0.03708
127,420,0.64,0.60938,0.03063,415,0.64,0.60139,0.03861
128,421,0.645,0.61111,0.03389,418,0.645,0.60659,0.03841
129,425,0.65,0.61806,0.03194,421,0.65,0.61179,0.03821
130,427,0.655,0.62153,0.03347,424,0.655,0.61698,0.03802
131,431,0.66,0.62847,0.03153,430,0.66,0.62738,0.03262
132,435,0.665,0.63542,0.02958,431,0.665,0.62912,0.03588
133,437,0.67,0.63889,0.03111,435,0.67,0.63605,0.03395
134,440,0.675,0.6441,0.0309,437,0.675,0.63951,0.03549
135,444,0.68,0.65104,0.02896,443,0.68,0.64991,0.03009
136,446,0.685,0.65451,0.03049,444,0.685,0.65165,0.03335
137,452,0.69,0.66493,0.02507,447,0.69,0.65685,0.03315
138,450,0.695,0.66146,0.03354,451,0.695,0.66378,0.03122
139,457,0.7,0.67361,0.02639,457,0.7,0.67418,0.02582
140,459,0.705,0.67708,0.02792,456,0.705,0.67244,0.03256
141,462,0.71,0.68229,0.02771,460,0.71,0.67938,0.03062
142,467,0.715,0.69097,0.02403,462,0.715,0.68284,0.03216
143,468,0.72,0.69271,0.02729,462,0.72,0.68284,0.03716
144,470,0.725,0.69618,0.02882,470,0.725,0.69671,0.02829
145,473,0.73,0.70139,0.02861,470,0.73,0.69671,0.03329
146,475,0.735,0.70486,0.03014,476,0.735,0.70711,0.02789
147,477,0.74,0.70833,0.03167,475,0.74,0.70537,0.03463
148,480,0.745,0.71354,0.03146,477,0.745,0.70884,0.03616
149,483,0.75,0.71875,0.03125,481,0.75,0.71577,0.03423
150,486,0.755,0.72396,0.03104,483,0.755,0.71924,0.03576
151,489,0.76,0.72917,0.03083,487,0.76,0.72617,0.03383
152,492,0.765,0.73438,0.03063,489,0.765,0.72964,0.03536
153,496,0.77,0.74132,0.02868,492,0.77,0.73484,0.03516
154,497,0.775,0.74306,0.03194,498,0.775,0.74523,0.02977
155,501,0.78,0.75,0.03,500,0.78,0.7487,0.0313
156,506,0.785,0.75868,0.02632,503,0.785,0.7539,0.0311
157,507,0.79,0.76042,0.02958,505,0.79,0.75737,0.03263
158,510,0.795,0.76562,0.02938,505,0.795,0.75737,0.03763
159,512,0.8,0.7691,0.0309,509,0.8,0.7643,0.0357
160,518,0.805,0.77951,0.02549,512,0.805,0.7695,0.0355
161,518,0.81,0.77951,0.03049,517,0.81,0.77816,0.03184
162,521,0.815,0.78472,0.03028,519,0.815,0.78163,0.03337
163,523,0.82,0.78819,0.03181,524,0.82,0.79029,0.02971
164,529,0.825,0.79861,0.02639,526,0.825,0.79376,0.03124
165,530,0.83,0.80035,0.02965,528,0.83,0.79723,0.03277
166,533,0.835,0.80556,0.02944,530,0.835,0.80069,0.03431
167,535,0.84,0.80903,0.03097,534,0.84,0.80763,0.03237
168,538,0.845,0.81424,0.03076,536,0.845,0.81109,0.03391
169,542,0.85,0.82118,0.02882,539,0.85,0.81629,0.03371
170,543,0.855,0.82292,0.03208,543,0.855,0.82322,0.03178
171,545,0.86,0.82639,0.03361,543,0.86,0.82322,0.03678
172,549,0.865,0.83333,0.03167,545,0.865,0.82669,0.03831
173,552,0.87,0.83854,0.03146,551,0.87,0.83709,0.03291
174,554,0.875,0.84201,0.03299,551,0.875,0.83709,0.03791
175,558,0.88,0.84896,0.03104,554,0.88,0.84229,0.03771
176,560,0.885,0.85243,0.03257,559,0.885,0.85095,0.03405
177,562,0.89,0.8559,0.0341,562,0.89,0.85615,0.03385
178,566,0.895,0.86285,0.03215,565,0.895,0.86135,0.03365
179,570,0.9,0.86979,0.03021,568,0.9,0.86655,0.03345
180,572,0.905,0.87326,0.03174,571,0.905,0.87175,0.03325
181,575,0.91,0.87847,0.03153,575,0.91,0.87868,0.03132
182,577,0.915,0.88194,0.03306,577,0.915,0.88215,0.03285
183,583,0.92,0.89236,0.02764,581,0.92,0.88908,0.03092
184,583,0.925,0.89236,0.03264,584,0.925,0.89428,0.03072
185,587,0.93,0.89931,0.03069,588,0.93,0.90121,0.02879
186,587,0.935,0.89931,0.03569,593,0.935,0.90988,0.02512
187,590,0.94,0.90451,0.03549,595,0.94,0.91334,0.02666
188,594,0.945,0.91146,0.03354,597,0.945,0.91681,0.02819
189,597,0.95,0.91667,0.03333,600,0.95,0.92201,0.02799
190,599,0.955,0.92014,0.03486,602,0.955,0.92548,0.02952
191,606,0.96,0.93229,0.02771,604,0.96,0.92894,0.03106
192,610,0.965,0.93924,0.02576,607,0.965,0.93414,0.03086
193,614,0.97,0.94618,0.02382,609,0.97,0.93761,0.03239
194,610,0.975,0.93924,0.03576,613,0.975,0.94454,0.03046
195,612,0.98,0.94271,0.03729,615,0.98,0.94801,0.03199
196,615,0.985,0.94792,0.03708,619,0.985,0.95494,0.03006
197,618,0.99,0.95312,0.03688,621,0.99,0.95841,0.03159
198,623,0.995,0.96181,0.03319,624,0.995,0.9636,0.0314
199,625,1.0,0.96528,0.03472,628,1.0,0.97054,0.02946
200,624,1.0,0.96354,0.03646,628,1.0,0.97054,0.02946
201,626,1.0,0.96701,0.03299,630,1.0,0.974,0.026
202,627,1.0,0.96875,0.03125,635,1.0,0.98267,0.01733
203,629,1.0,0.97222,0.02778,636,1.0,0.9844,0.0156
204,634,1.0,0.9809,0.0191,636,1.0,0.9844,0.0156
205,631,1.0,0.97569,0.02431,636,1.0,0.9844,0.0156
206,630,1.0,0.97396,0.02604,639,1.0,0.9896,0.0104
207,632,1.0,0.97743,0.02257,638,1.0,0.98787,0.01213
208,632,1.0,0.97743,0.02257,637,1.0,0.98614,0.01386
209,632,1.0,0.97743,0.02257,637,1.0,0.98614,0.01386
210,631,1.0,0.97569,0.02431,637,1.0,0.98614,0.01386
211,631,1.0,0.97569,0.02431,638,1.0,0.98787,0.01213
212,634,1.0,0.9809,0.0191,637,1.0,0.98614,0.01386
213,631,1.0,0.97569,0.02431,639,1.0,0.9896,0.0104
214,632,1.0,0.97743,0.02257,637,1.0,0.98614,0.01386
215,631,1.0,0.97569,0.02431,637,1.0,0.98614,0.01386
216,631,1.0,0.97569,0.02431,636,1.0,0.9844,0.0156
217,631,1.0,0.97569,0.02431,636,1.0,0.9844,0.0156
218,626,1.0,0.96701,0.03299,637,1.0,0.98614,0.01386
219,630,1.0,0.97396,0.02604,637,1.0,0.98614,0.01386
220,634,1.0,0.9809,0.0191,638,1.0,0.98787,0.01213
221,632,1.0,0.97743,0.02257,637,1.0,0.98614,0.01386
222,631,1.0,0.97569,0.02431,638,1.0,0.98787,0.01213
223,633,1.0,0.97917,0.02083,637,1.0,0.98614,0.01386
