cycle,step,t_ms,phase,servo8_q_target,servo8_q_measured,servo8_q_delta,servo6_q_target,servo6_q_measured,servo6_q_delta
0,0,809.4,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,1,831.1,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,2,852.3,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,3,873.4,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,4,891.7,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,5,914.2,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,6,934.2,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,7,955.7,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,8,977.0,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,9,997.5,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,10,1016.3,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,11,1037.1,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,12,1059.8,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,13,1080.8,SETTLE,0.0,0.0,0.0,0.0,0.0,0.0
0,14,1101.8,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,15,1122.2,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,16,1142.8,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,17,1164.4,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,18,1184.9,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,19,1204.2,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,20,1226.8,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,21,1247.3,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,22,1266.2,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,23,1287.3,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,24,1307.6,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,25,1328.3,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,26,1350.8,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,27,1370.4,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,28,1392.3,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,29,1414.2,SETTLE,0.0,0.0,0.0,0.0,0.00174,-0.00174
0,30,1435.5,CLOSE,0.003,0.0,0.003,0.003,0.00174,0.00126
0,31,1456.5,CLOSE,0.006,0.0,0.006,0.006,0.00174,0.00426
0,32,1477.5,CLOSE,0.009,0.0,0.009,0.009,0.00174,0.00726
0,33,1498.3,CLOSE,0.012,0.0,0.012,0.012,0.00174,0.01026
0,34,1518.3,CLOSE,0.015,0.0,0.015,0.015,0.00174,0.01326
0,35,1539.5,CLOSE,0.018,0.0,0.018,0.018,0.00174,0.01626
0,36,1560.3,CLOSE,0.021,0.0,0.021,0.021,0.00174,0.01926
0,37,1581.3,CLOSE,0.024,0.0,0.024,0.024,0.00174,0.02226
0,38,1601.6,CLOSE,0.027,0.0,0.027,0.027,0.0,0.027
0,39,1623.9,CLOSE,0.03,0.0,0.03,0.03,0.00174,0.02826
0,40,1644.9,CLOSE,0.033,0.00173,0.03127,0.033,0.00174,0.03126
0,41,1666.1,CLOSE,0.036,0.0,0.036,0.036,0.00174,0.03426
0,42,1686.3,CLOSE,0.039,0.00693,0.03207,0.039,0.00347,0.03553
0,43,1707.1,CLOSE,0.042,0.00693,0.03507,0.042,0.00868,0.03332
0,44,1727.9,CLOSE,0.045,0.00867,0.03633,0.045,0.01042,0.03458
0,45,1747.6,CLOSE,0.048,0.01733,0.03067,0.048,0.0191,0.0289
0,46,1769.5,CLOSE,0.051,0.0208,0.0302,0.051,0.02431,0.02669
0,47,1790.1,CLOSE,0.054,0.02773,0.02627,0.054,0.03472,0.01928
0,48,1811.1,CLOSE,0.057,0.03293,0.02407,0.057,0.04514,0.01186
0,49,1832.8,CLOSE,0.06,0.03986,0.02014,0.06,0.04861,0.01139
0,50,1853.6,CLOSE,0.063,0.04506,0.01794,0.063,0.05382,0.00918
0,51,1874.4,CLOSE,0.066,0.05026,0.01574,0.066,0.06076,0.00524
0,52,1894.2,CLOSE,0.069,0.05373,0.01527,0.069,0.06597,0.00303
0,53,1916.3,CLOSE,0.072,0.05893,0.01307,0.072,0.06944,0.00256
0,54,1936.3,CLOSE,0.075,0.06239,0.01261,0.075,0.07292,0.00208
0,55,1955.7,CLOSE,0.078,0.06412,0.01388,0.078,0.07292,0.00508
0,56,1976.6,CLOSE,0.081,0.06759,0.01341,0.081,0.07292,0.00808
0,57,1997.4,CLOSE,0.084,0.06932,0.01468,0.084,0.07292,0.01108
0,58,2018.4,CLOSE,0.087,0.07106,0.01594,0.087,0.07292,0.01408
0,59,2039.9,CLOSE,0.09,0.07106,0.01894,0.09,0.07639,0.01361
0,60,2061.6,CLOSE,0.093,0.07106,0.02194,0.093,0.07292,0.02008
0,61,2081.9,CLOSE,0.096,0.07279,0.02321,0.096,0.07292,0.02308
0,62,2101.2,CLOSE,0.099,0.07279,0.02621,0.099,0.08507,0.01393
0,63,2123.1,CLOSE,0.102,0.07972,0.02228,0.102,0.07465,0.02735
0,64,2143.7,CLOSE,0.105,0.07279,0.03221,0.105,0.07639,0.02861
0,65,2166.1,CLOSE,0.108,0.07626,0.03174,0.108,0.07812,0.02988
0,66,2187.1,CLOSE,0.111,0.07626,0.03474,0.111,0.0816,0.0294
0,67,2206.7,CLOSE,0.114,0.08492,0.02908,0.114,0.08507,0.02893
0,68,2226.7,CLOSE,0.117,0.08146,0.03554,0.117,0.08854,0.02846
0,69,2248.9,CLOSE,0.12,0.08492,0.03508,0.12,0.09201,0.02799
0,70,2269.1,CLOSE,0.123,0.08839,0.03461,0.123,0.09549,0.02751
0,71,2290.2,CLOSE,0.126,0.09185,0.03415,0.126,0.10243,0.02357
0,72,2310.9,CLOSE,0.129,0.09705,0.03195,0.129,0.10243,0.02657
0,73,2333.2,CLOSE,0.132,0.10225,0.02975,0.132,0.10938,0.02263
0,74,2353.5,CLOSE,0.135,0.10919,0.02581,0.135,0.11285,0.02215
0,75,2373.8,CLOSE,0.138,0.11092,0.02708,0.138,0.11632,0.02168
0,76,2393.4,CLOSE,0.141,0.11612,0.02488,0.141,0.11806,0.02294
0,77,2414.0,CLOSE,0.144,0.11958,0.02442,0.144,0.12153,0.02247
0,78,2434.2,CLOSE,0.147,0.12305,0.02395,0.147,0.12674,0.02026
0,79,2456.1,CLOSE,0.15,0.12652,0.02348,0.15,0.12847,0.02153
0,80,2479.1,CLOSE,0.153,0.12998,0.02302,0.153,0.13021,0.02279
0,81,2498.5,CLOSE,0.156,0.13345,0.02255,0.156,0.13368,0.02232
0,82,2518.0,CLOSE,0.159,0.13518,0.02382,0.159,0.13542,0.02358
0,83,2541.7,CLOSE,0.162,0.13865,0.02335,0.162,0.14062,0.02138
0,84,2561.4,CLOSE,0.165,0.14038,0.02462,0.165,0.14236,0.02264
0,85,2582.7,CLOSE,0.168,0.14038,0.02762,0.168,0.1441,0.0239
0,86,2604.2,CLOSE,0.171,0.14558,0.02542,0.171,0.14757,0.02343
0,87,2622.8,CLOSE,0.174,0.14731,0.02669,0.174,0.15104,0.02296
0,88,2643.0,CLOSE,0.177,0.14905,0.02795,0.177,0.15451,0.02249
0,89,2664.2,CLOSE,0.18,0.15251,0.02749,0.18,0.15799,0.02201
0,90,2684.7,CLOSE,0.183,0.15945,0.02355,0.183,0.15972,0.02328
0,91,2708.2,CLOSE,0.186,0.15771,0.02829,0.186,0.16319,0.02281
0,92,2729.1,CLOSE,0.189,0.16118,0.02782,0.189,0.1684,0.0206
0,93,2748.9,CLOSE,0.192,0.16638,0.02562,0.192,0.17014,0.02186
0,94,2770.3,CLOSE,0.195,0.16811,0.02689,0.195,0.17361,0.02139
0,95,2791.8,CLOSE,0.198,0.17158,0.02642,0.198,0.17708,0.02092
0,96,2812.2,CLOSE,0.201,0.18024,0.02076,0.201,0.17882,0.02218
0,97,2830.8,CLOSE,0.204,0.17851,0.02549,0.204,0.18229,0.02171
0,98,2851.7,CLOSE,0.207,0.18198,0.02502,0.207,0.18403,0.02297
0,99,2873.7,CLOSE,0.21,0.18718,0.02282,0.21,0.1875,0.0225
0,100,2894.5,CLOSE,0.213,0.18891,0.02409,0.213,0.19097,0.02203
0,101,2916.0,CLOSE,0.216,0.19237,0.02363,0.216,0.19444,0.02156
0,102,2936.1,CLOSE,0.219,0.19584,0.02316,0.219,0.19792,0.02108
0,103,2957.2,CLOSE,0.222,0.19757,0.02443,0.222,0.19965,0.02235
0,104,2978.1,CLOSE,0.225,0.20104,0.02396,0.225,0.20139,0.02361
0,105,2999.0,CLOSE,0.228,0.20624,0.02176,0.228,0.20486,0.02314
0,106,3018.7,CLOSE,0.231,0.20624,0.02476,0.231,0.2066,0.0244
0,107,3040.4,CLOSE,0.234,0.20971,0.02429,0.234,0.21007,0.02393
0,108,3060.7,CLOSE,0.237,0.21144,0.02556,0.237,0.21354,0.02346
0,109,3082.2,CLOSE,0.24,0.2149,0.0251,0.24,0.21701,0.02299
0,110,3102.8,CLOSE,0.243,0.21837,0.02463,0.243,0.22049,0.02251
0,111,3124.3,CLOSE,0.246,0.2201,0.0259,0.246,0.21875,0.02725
0,112,3144.5,CLOSE,0.249,0.20624,0.04276,0.249,0.22569,0.02331
0,113,3167.0,CLOSE,0.252,0.22704,0.02496,0.252,0.2309,0.0211
0,114,3186.5,CLOSE,0.255,0.2305,0.0245,0.255,0.23438,0.02063
0,115,3207.1,CLOSE,0.258,0.23397,0.02403,0.258,0.23785,0.02015
0,116,3228.3,CLOSE,0.261,0.23744,0.02356,0.261,0.24132,0.01968
0,117,3248.8,CLOSE,0.264,0.2409,0.0231,0.264,0.24479,0.01921
0,118,3271.1,CLOSE,0.267,0.24263,0.02437,0.267,0.24826,0.01874
0,119,3290.3,CLOSE,0.27,0.24783,0.02217,0.27,0.25174,0.01826
0,120,3311.8,CLOSE,0.273,0.24957,0.02343,0.273,0.25347,0.01953
0,121,3332.6,CLOSE,0.276,0.25477,0.02123,0.276,0.25694,0.01906
