episode,shape,size,middle_first_contact,middle_first_thr_0.02,middle_latency_0.02,middle_first_thr_0.03,middle_latency_0.03,middle_first_thr_0.04,middle_latency_0.04,middle_first_thr_0.05,middle_latency_0.05,middle_first_thr_0.06,middle_latency_0.06,middle_first_thr_0.08,middle_latency_0.08,middle_first_thr_0.1,middle_latency_0.1,index_first_contact,index_first_thr_0.02,index_latency_0.02,index_first_thr_0.03,index_latency_0.03,index_first_thr_0.04,index_latency_0.04,index_first_thr_0.05,index_latency_0.05,index_first_thr_0.06,index_latency_0.06,index_first_thr_0.08,index_latency_0.08,index_first_thr_0.1,index_latency_0.1
0,sphere,5.0,93,95,2,97,4,98,5,99,6,100,7,109,16,119,26,87,90,3,91,4,93,6,94,7,95,8,97,10,99,12
1,sphere,5.0,93,95,2,97,4,98,5,99,6,99,6,103,10,107,14,87,90,3,91,4,92,5,94,7,95,8,97,10,99,12
2,sphere,5.0,93,95,2,97,4,98,5,103,10,108,15,112,19,116,23,87,90,3,91,4,92,5,94,7,94,7,96,9,98,11
3,sphere,5.0,93,95,2,97,4,98,5,99,6,101,8,113,20,120,27,87,90,3,91,4,92,5,93,6,94,7,96,9,98,11
4,sphere,5.0,93,95,2,97,4,98,5,99,6,100,7,107,14,114,21,87,90,3,92,5,93,6,94,7,96,9,99,12,108,21
5,sphere,5.0,93,95,2,96,3,98,5,99,6,100,7,103,10,108,15,87,90,3,91,4,93,6,94,7,96,9,98,11,105,18
6,sphere,5.0,93,95,2,97,4,98,5,99,6,100,7,106,13,112,19,87,90,3,91,4,92,5,94,7,95,8,97,10,99,12
7,sphere,5.0,93,95,2,97,4,98,5,99,6,100,7,103,10,107,14,87,90,3,91,4,93,6,94,7,95,8,98,11,103,16
8,sphere,5.0,93,95,2,97,4,98,5,99,6,101,8,108,15,114,21,87,90,3,91,4,92,5,93,6,94,7,96,9,98,11
9,sphere,5.0,93,95,2,97,4,98,5,99,6,100,7,106,13,113,20,87,90,3,92,5,93,6,95,8,96,9,99,12,109,22
0,cube,5.0,90,92,2,93,3,94,4,95,5,96,6,98,8,104,14,85,87,2,88,3,89,4,90,5,91,6,95,10,98,13
1,cube,5.0,90,92,2,93,3,94,4,95,5,96,6,99,9,106,16,85,87,2,88,3,89,4,90,5,91,6,95,10,98,13
2,cube,5.0,90,92,2,93,3,94,4,95,5,96,6,99,9,107,17,85,87,2,88,3,89,4,90,5,92,7,95,10,98,13
3,cube,5.0,90,92,2,93,3,94,4,95,5,96,6,98,8,102,12,85,87,2,88,3,89,4,90,5,91,6,94,9,97,12
4,cube,5.0,90,92,2,93,3,94,4,95,5,96,6,99,9,111,21,85,87,2,88,3,89,4,90,5,91,6,95,10,98,13
5,cube,5.0,90,92,2,93,3,94,4,95,5,96,6,99,9,109,19,85,87,2,88,3,89,4,90,5,91,6,95,10,98,13
6,cube,5.0,90,92,2,93,3,94,4,95,5,96,6,99,9,107,17,85,87,2,88,3,89,4,90,5,92,7,95,10,98,13
7,cube,5.0,90,92,2,93,3,94,4,95,5,96,6,99,9,110,20,85,87,2,88,3,89,4,90,5,92,7,95,10,98,13
8,cube,5.0,90,92,2,93,3,94,4,95,5,96,6,98,8,103,13,85,87,2,88,3,89,4,90,5,92,7,95,10,98,13
9,cube,5.0,90,92,2,93,3,94,4,95,5,96,6,99,9,112,22,85,87,2,88,3,89,4,90,5,92,7,95,10,99,14
